user_id,nome,parecer
U001,Ana Silva,Crítico Irônico
U002,Bruno Costa,Diplomático Reflexivo
U003,Carla Mendes,Super Contribuidor Pop
U004,Diego Oliveira,Super Contribuidor Analítico
U005,Eduarda Rocha,Eclético Pop
U006,Felipe Souza,Super Contribuidor
U007,Gabriela Lima,Super Contribuidor
U008,Henrique Almeida,Diplomático Reflexivo
U009,Isabela Santos,Diplomático Reflexivo
U010,João Pereira,Cinéfilo Pop
U011,Lucas Martins,Perfil Diplomático Analítico
U012,Mariana Farias,Engajado Analítico
U013,Rafael Gomes,Diplomático Analítico
U014,Sofia Ramos,Cinéfilo Analítico
U015,Victor Andrade,Diplomático Reflexivo
